Organization Name,Industries,CB Rank (Organization),Full Description
BYJU’S,"E-Learning, EdTech, Education",106,"BYJU’S is a global ed-tech company that provides highly adaptive, engaging, and effective learning solutions to more than 150 million students around the world. Founded in India in 2011, BYJU's mission is to make high-quality learning accessible to students everywhere. The BYJU's family of brands includes Disney-BYJU's Early Learn, BYJU's FutureSchool, Epic!, Osmo, Tynker, Toppr, and WhiteHat Jr., along with the company’s beloved flagship product, BYJU's: The Learning App. Together, BYJU's solutions support pre-K–12 education and a wide range of competitive exams. BYJU’S delivers a world-class learning experience with tools that sit at the crossroads of mobile, interactive content, and personalized learning methodologies. Byju's geography-agnostic solutions and 12,000+ teachers make learning engaging with visual and contextual programs that adapt to the unique learning style, skill level, and pace of each student. In addition, BYJU’S has innovative partnerships with some of the world's largest companies, including Disney and Google, to drive engagement and help even more students become active and lifelong learners. BYJU’S is backed by blue-chip investors including the Chan-Zuckerberg Initiative, Sequoia Capital, Bond Capital, Silver Lake, BlackRock, Sands Capital Management, Alkeon Capital Management, Sofina, Verlinvest, Tencent, Prosus (previously Naspers Ventures), CPPIB, General Atlantic, Tiger Global, Qatar Investment Authority, Owl Ventures, Lightspeed Venture Partners, Times Internet, Aarin Capital, and IFC. Since 2017, BYJU’S has completed more than 15 acquisitions, including companies in the U.S., UK, Austria, India, and Singapore.  A 2021 Time 100 Most Influential Company, BYJU’S is headquartered in India, with operations in more than 21 countries globally and learning programs in more than 8 languages."
SeedBlink,"Apps, Artificial Intelligence, Biotechnology, Cyber Security, EdTech, Financial Services, FinTech, Machine Learning, Property Management, Software",109,"Seedblink is Europe’s fastest growing investing platform specialized in sourcing, vetting, financing and scaling tech start-ups. We leverage software, capital and an exclusive industry community to lower barriers to accessing VC level opportunities for both investors and founders."
Coursera,"E-Learning, EdTech, Education, Internet",149,"Coursera is an online education company that serves over 20 million registered learners by partnering with 140 of the world’s universities and education institutions. On Coursera, anyone, anywhere can access over 1,000 online courses and Specializations in dozens of fields in order to achieve meaningful career, educational, and personal enrichment goals throughout their lives. The company was founded in 2012 and is headquartered in Mountain View, California."
Preply,"E-Learning, EdTech, Education, Language Learning, Tutoring",166,"Preply is on a mission to shape the future of effective learning. Fueled by the belief that live engagement with a teacher is still an effective way to learn a new skill, Preply is building a personalized learning space that will enable individual learners to reach their full potential. It is a global language learning marketplace, connecting 50,000+ tutors with millions of learners. Since the company launched in 2012, students have signed up for more than 15 million lessons. Preply is an online language tutoring segment and has 400+ employees of over 50 nationalities based across Barcelona, Kyiv, and the US. Preply is driven by a culture of experimentation and data-driven learning focused on building consumer and enterprise learning solutions."
GoStudent,"EdTech, Education, Tutoring",249,"GoStudent is a platform for online teaching and is the future of tutoring. Via its platform, GoStudent provides paid, one-to-one, video-based tuition to primary, secondary, and college-aged students in 20+ subjects, using a membership model. Lessons are booked via the GoStudent platform and accessed using a computer or a mobile device. During each tutoring session, students and tutors interact live in a virtual classroom. Integrated features, such as a whiteboard and the option to share a screen and edit documents together, are included.  GoStudent employs more than 600 people and has opened 12 international offices. Over 400,000 tutoring units are booked each month. Currently, GoStudent has around 15,000 customers and works with 5,500 international tutors. To date, GoStudent has raised more than €291m. Investors include Left Lane Capital, DN Capital, Coatue, and DST Global."
Hybe,"EdTech, Media and Entertainment, Music, Music Education",253,"HYBE is a music-based entertainment lifestyle platform company. It engages in Music Production, Publishing, New Artist Development, Artist Management, 360° Business, IP Business, and Platform Business."
Campus,"EdTech, Education, Higher Education",355,"Campus is a fully accredited online community college, powered by a network of professors who also teach at the universities. Campus provides online learning services."
Educbank,"EdTech, Education, Financial Services, FinTech",435,"Educbank is a financial ecosystem dedicated to K-12 schools, intended to expand access to quality education in Brazil, through services’ management and financial support to educational institutions by providing payment guaranty to school tuitions. This investment will enable Vasta to capture great value potential in the following years, by tapping the K-12 tuitions payment means, which total payment volume (TPV) surpasses R$70 billion per year. Educbank’s services complement Vasta’s digital services platform, which provides access to data, management tools and now working capital management, releasing time for school partners to focus on delivering education. Educbank was established on June 3, 2020 by Danilo Costa in Sao Paulo, Brazil."
Marwari Catalysts,"AgTech, B2C, Communities, EdTech, FinTech, Health Care, Home Decor, SaaS",455,"Marwari Catalysts primarily focuses on creating, nurturing, and fostering startups to accelerate their journey from a startup to a unicorn. We have a backward integration with incubators and front-end integration with the AIF, Family Offices and Angel Networks. Marwari Catalysts is a founder & investor-friendly company with like minded professionals and industry experts passionate about entrepreneurship. We conduct a Startup Acceleration program: 'Thrive'; India's most exhilarating and value-based cohort accelerator program for early-stage startups. Thrive is a 12-week rigorous program that enables a particular startup to accelerate and helps them become investment-ready by providing: a skillset, expertise, and guidance from mentors via the program. The most successful Startup Founders & Top Industry Leaders will accompany you as mentors; to pilot your startup success to reach the sky. It is the only accelerator program with Skin-in-the-game providing signal funding to all the chosen startups. We already have companies from sectors, such as D2C, B2B, Edu Tech, FinTech, Fashion, Lifestyle Products, Community Building, to name a few and are currently working on Supply Chain Management and Climate Change. Marwari Catalysts is India's fastest growing Startup Accelerator.  Our People: We are a closed knit group of successful startup founders, professionals and industrialists with strong professional and academic credentials. 100+ Co-founders Club, 60+ Startups Portfolio, 35% Female Founders, 70% Startups funded, $10Mn Portfolio Valuation, 7 Startups Exit (full and part)  Marwari Catalysts strongly supports the fact that their partnerships with startups are about discovery as well as execution and believes in value creation. An inclusive model which supports startups at various stages in their life-cycle, whether incubation, funding, acceleration, PR or business development support."
ExecOnline,"Corporate Training, E-Learning, EdTech, Education, Software, Training",649,"ExecOnline delivers transformational learning experiences to corporate leaders. Through partnerships with business schools such as Berkeley Haas, Chicago Booth, Columbia, Tuck at Dartmouth, Duke CE, IMD, Ivey, MIT-Sloan, Stanford GSB, Wharton, and Yale, the e-learning company provides leadership courses. As a Forbes “Technology Company to Watch,” its proprietary online ecosystem combines the engagement of on-campus study with the convenience of online education, through dynamic, high-impact experiences tailored to the unique strategic, innovation, and operation concerns of corporate executives. In 2012, Stephen Bailey, Mark Ozer, Barry Goldberg, and Julia Alexander co-founded the company in New York, New York."
Kahoot!,"E-Learning, EdTech, Education, Gamification, Gaming, Mobile, Software, Training",667,"Kahoot! is a game-based learning platform that makes it easy to create, share, and play fun learning games or trivia quizzes in minutes. The platform offers learning games in minutes for any subject, in any language, on any device, and for all ages. Based on the mission of making learning awesome, Kahoot!’s game-based platform engages the heart, hand, and mind, creating a wildly more social, meaningful, and powerful pedagogical experience. Kahoot!’s platform and easy-to-use features attract educators and students as well as corporate powerhouses, sporting, and cultural events. In 2012, co-founders Alf Inge Wang, Asmund Furuseth, Jamie Brooker, Johan Brand, and Morten Versvik established the company in Oslo, Oslo."
Wonderschool,"Child Care, EdTech, Education, Parenting, Primary Education",678,"Started in 2016 by a group of educators and technologists in California, Wonderschool offers a platform where people can start infant and toddler programs and preschools out of their homes. Wonderschool supports experienced educators and childcare providers to start their own childcares or preschools out of their homes, whether they live in apartments, condos, or homes that they rent or own. Wonderschool provides assistance with licensing, program setup, marketing and everything in between. The company’s software platform allows teachers to manage their students, parents, and their program from one dashboard. Along with this, Wonderschool has built a marketplace for parents to search Wonderschool programs, schedule visits, enroll their children, and make payments. It’s been proven time and time again that children should start developing cognitive, motor, behavioral, and social skills from as early as 6 months and Wonderschool is committed to increasing families’ access to high quality care and learning environments for children."
Leverage Edu,"Artificial Intelligence, Career Planning, EdTech, Education, Higher Education, Internet, Marketplace",696,"Leverage Edu is an AI-enabled marketplace designed to help students with their higher education and career growth plans. It is one of India's leading/fastest growing ed-tech companies, transforming access to an exponential career growth, by democratising mentorship, breaking traditional systems, & helping the new student of today jump over the artificial high walls!"
UpGrad,"E-Learning, EdTech, Education",776,"UpGrad is an online platform that offers educational services to its clients. UpGrad’s range of programs consists of digital marketing, product management, entrepreneurship, data analytics, data-driven management, and digital technology management. It offers industry insights and student support services. UpGrad was launched in 2015 by Phalgun Kompalli, Ronnie Screwvala, Ravijot Chugh, and Mayank Kumar and is based in Mumbai."
Nearpod,"E-Learning, EdTech, Education, Mobile Apps, Skill Assessment, Software, Virtual Reality",793,"Nearpod is an all-in-one solution for the synchronized use of iPads in the classroom that makes lectures more engaging through interactive multimedia presentations.  With Nearpod, teachers can create mobile presentations, engage students in class, and assess them in real time. The fast adoption of tablet computing and mobile devices is having a profound impact on education. Nearpod allows educators to very easily take their existing presentations, convert them into mobile-friendly content, and engage all students to convert them into active classroom participants. Teachers can deliver their existing content through mobile (iOS or Android) devices and get instant feedback from students through interactive features like polls, quizzes, drawing activities, and others."
LMS365,"Corporate Training, E-Learning, EdTech, Education, SaaS, Software, Training","1,020","LMS365 provides a complete LMS for Office 365 and SharePoint, making learning accessible, anytime, anywhere."
